Timestamp;Metric;FrameCount;PointsAdded;ChartTime_ms;FrameTime_ms;ChartImpact_Percent;FPS;AllocatedMemory_B
2026-06-08 14:27:36.463;Current;1427;1;0,0159;8,5824;0,19;116,5;0,00
2026-06-08 14:27:36.464;Torque;1427;1;0,0082;8,5824;0,10;116,5;0,00
2026-06-08 14:27:36.493;Velocity;1429;1;0,0286;8,0371;0,36;124,4;0,00
2026-06-08 14:27:36.493;Current;1429;1;0,0262;8,0371;0,33;124,4;4,00
2026-06-08 14:27:36.494;Torque;1429;1;0,0073;8,0371;0,09;124,4;4,00
2026-06-08 14:27:36.520;Velocity;1431;1;0,0269;7,3071;0,37;136,9;0,00
2026-06-08 14:27:36.521;Current;1431;1;0,0216;7,3071;0,30;136,9;8,00
2026-06-08 14:27:36.521;Torque;1431;1;0,0058;7,3071;0,08;136,9;0,00
2026-06-08 14:27:36.549;Velocity;1433;1;0,0281;7,9756;0,35;125,4;0,00
2026-06-08 14:27:36.549;Current;1433;1;0,0184;7,9756;0,23;125,4;4,00
2026-06-08 14:27:36.550;Torque;1433;1;0,0065;7,9756;0,08;125,4;0,00
2026-06-08 14:27:36.577;Velocity;1435;1;0,0315;7,8081;0,40;128,1;0,00
2026-06-08 14:27:36.578;Current;1435;1;0,0345;7,8081;0,44;128,1;4,00
2026-06-08 14:27:36.578;Torque;1435;1;0,0073;7,8081;0,09;128,1;0,00
2026-06-08 14:27:36.607;Velocity;1437;1;0,0310;8,0715;0,38;123,9;0,00
2026-06-08 14:27:36.607;Current;1437;1;0,0286;8,0715;0,35;123,9;0,00
2026-06-08 14:27:36.608;Torque;1437;1;0,0137;8,0715;0,17;123,9;8,00
2026-06-08 14:27:36.634;Velocity;1439;1;0,0294;7,4602;0,39;134,0;0,00
2026-06-08 14:27:36.634;Current;1439;1;0,0302;7,4602;0,40;134,0;0,00
2026-06-08 14:27:36.635;Torque;1439;1;0,0117;7,4602;0,16;134,0;4,00
2026-06-08 14:27:36.662;Velocity;1441;1;0,0368;8,0287;0,46;124,6;4,00
2026-06-08 14:27:36.663;Current;1441;1;0,0171;8,0287;0,21;124,6;0,00
