"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:13",322,"-12.582","-24.529","-11.816","-8.834","137.500","62.695","21.313","21.461","300.0","351.2"
"2025/05/26","13:57:13",423,"-12.582","-25.175","-11.958","-9.954","137.478","62.695","21.314","21.462","300.0","351.2"
"2025/05/26","13:57:13",505,"-12.582","-23.922","-11.452","-9.082","137.478","62.739","21.313","21.462","300.0","351.2"
"2025/05/26","13:57:13",588,"-12.582","-22.231","-10.566","-8.880","137.478","62.739","21.314","21.461","300.0","344.2"
"2025/05/26","13:57:13",721,"-12.582","-22.425","-10.669","-8.834","137.478","62.760","21.314","21.462","300.0","344.2"
"2025/05/26","13:57:13",838,"-12.582","-22.937","-10.924","-8.823","137.478","62.760","21.314","21.461","300.0","346.2"
"2025/05/26","13:57:13",905,"-12.582","-24.692","-11.905","-9.952","137.478","62.760","21.313","21.461","300.0","346.2"
"2025/05/26","13:57:14",6,"-12.582","-24.863","-11.901","-10.212","137.478","62.804","21.314","21.461","300.0","391.0"
"2025/05/26","13:57:14",138,"-12.582","-23.850","-11.362","-9.141","137.478","62.804","21.314","21.461","300.0","391.0"
"2025/05/26","13:57:14",239,"-12.582","-22.215","-10.545","-7.763","137.500","62.782","21.315","21.462","300.0","391.0"
"2025/05/26","13:57:14",322,"-12.582","-23.123","-11.049","-8.576","137.500","62.782","21.314","21.462","300.0","415.9"
"2025/05/26","13:57:14",438,"-12.582","-24.968","-12.088","-9.894","137.522","62.782","21.315","21.462","300.0","415.9"
"2025/05/26","13:57:14",523,"-12.582","-22.706","-10.867","-9.068","137.522","62.739","21.315","21.462","300.0","422.9"
"2025/05/26","13:57:14",640,"-12.582","-21.132","-10.123","-7.746","137.522","62.739","21.316","21.462","300.0","422.9"
"2025/05/26","13:57:14",721,"-12.582","-24.041","-11.413","-8.572","137.500","62.739","21.317","21.463","300.0","422.9"
"2025/05/26","13:57:14",838,"-12.582","-27.283","-13.018","-11.024","137.500","62.739","21.316","21.462","300.0","412.2"
"2025/05/26","13:57:14",921,"-12.582","-22.656","-10.773","-8.198","137.543","62.739","21.316","21.462","300.0","412.2"
"2025/05/26","13:57:15",39,"-12.582","-21.588","-10.255","-7.546","137.543","62.717","21.317","21.462","300.0","416.5"
"2025/05/26","13:57:15",121,"-12.582","-24.964","-11.905","-9.657","137.543","62.717","21.317","21.462","300.0","416.5"
"2025/05/26","13:57:15",239,"-12.582","-22.588","-10.824","-7.882","137.565","62.717","21.317","21.463","300.0","416.5"
"2025/05/26","13:57:15",421,"-12.582","-23.873","-11.423","-9.901","137.587","62.717","21.317","21.463","300.0","415.6"
"2025/05/26","13:57:15",456,"-12.582","-25.024","-11.944","-10.200","137.587","62.739","21.317","21.462","300.0","425.4"
"2025/05/26","13:57:15",555,"-12.582","-23.654","-11.295","-9.139","137.587","62.739","21.316","21.463","300.0","425.4"
"2025/05/26","13:57:15",654,"-12.582","-22.870","-10.991","-8.894","137.587","62.739","21.365","21.477","300.0","425.4"
"2025/05/26","13:57:15",756,"-12.582","-44.892","-21.459","-19.014","137.587","62.739","21.387","21.500","301.8","987.8"
"2025/05/26","13:57:15",871,"-12.582","-55.115","-26.491","-23.611","139.648","62.739","21.392","21.506","301.8","987.8"
"2025/05/26","13:57:15",971,"-12.582","-56.306","-27.036","-23.541","139.648","75.195","21.394","21.511","301.8","1010.7"
"2025/05/26","13:57:16",55,"-12.582","-55.178","-26.239","-23.525","222.808","75.195","21.393","21.511","390.6","1010.7"
"2025/05/26","13:57:16",190,"-12.582","-55.619","-26.517","-23.521","222.808","166.254","21.394","21.512","390.6","1010.7"
"2025/05/26","13:57:16",289,"-12.582","-57.474","-27.581","-24.651","222.808","166.254","21.395","21.512","870.8","989.9"
"2025/05/26","13:57:16",371,"-12.582","-56.733","-27.211","-23.781","248.351","166.254","21.395","21.514","870.8","989.9"
"2025/05/26","13:57:16",489,"-12.582","-58.548","-27.895","-23.580","248.351","178.234","21.396","21.514","870.8","984.3"
"2025/05/26","13:57:16",572,"-12.582","-57.332","-27.360","-23.534","251.931","178.234","21.396","21.515","881.9","984.3"
"2025/05/26","13:57:16",688,"-12.582","-56.934","-27.391","-23.523","251.931","182.118","21.397","21.514","881.9","984.3"
"2025/05/26","13:57:16",772,"-12.582","-58.946","-28.167","-24.652","251.931","182.118","21.397","21.515","869.3","996.7"
"2025/05/26","13:57:16",905,"-12.582","-61.046","-29.115","-24.912","258.941","182.118","21.397","21.515","869.3","996.7"
"2025/05/26","13:57:17",39,"-12.582","-57.441","-27.488","-23.841","258.941","186.133","21.398","21.516","869.3","918.8"
"2025/05/26","13:57:17",121,"-12.582","-58.829","-28.267","-24.725","261.372","186.133","21.398","21.516","881.8","918.8"
"2025/05/26","13:57:17",206,"-12.582","-59.617","-28.523","-24.929","261.372","188.498","21.397","21.516","881.8","918.8"
